URL,所在地,会社HP,従業員数,事業内容,得意な材質,得意な大きさ,得意な板厚,得意なロット,得意な形状,処理能力,得意なリサイクル品,得意な製法,得意なトン数,得意な長さ,強み,ゼロバリとは？,特徴,精度,事業内容 （主な加工内容）,取扱い材質
https://eigyo-mfg.com/casestudy/1002/,兵庫県川西市久代1丁目15-8,https://sanyuu-1991.com/,45名,精密板金加工・溶接加工,鉄/アルミ/SUS,高さ1m以内,0.8㎜～12㎜,単品から量産まで,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1804/,福島県郡山市田村町金屋字新家16番地,http://www.hinode-k.co.jp/,22名,産業機械用精密部品製造,鉄/SUS/アルミ/真鍮/銅,φ5～φ50,,"1,000~10,000個程度",軸物,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/2029/,大阪府堺市堺区海山町2丁55番地,https://yamane.ne.jp/,25名,製鋼原料、非鉄金属の選別、解体および販売 産業廃棄物処理（収集運搬・中間処理）,,,,,,"鉄スクラップ月間15,000トン",鉄・金属類,,,,,,,,,
https://eigyo-mfg.com/casestudy/2083/,滋賀県草津市草津4丁目8-24,https://www.agata-g.co.jp/,30名,プリント基板試作実装・制御盤組立　LED階段足元灯　ドローン事業　太陽光発電売電事業,"CEM3,FR4,フレキ,アルミ,セラミック","基板最大サイズ290×510以内
Mサイズ以下",,１台からの多品種小ロット,異形基板でも対応可能,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1992/,鳥取県米子市旗ヶ崎6-1-31,https://www.jfitami.com/,25名,製餡（こしあん・つぶあん）・ジャム・ペースト・餅・菓子製造業,,,,小ロット製造（50kg〜）,,,,氷温熟成,,,,,,,,
https://eigyo-mfg.com/casestudy/1684/,愛知県名古屋市港区正保町4-2,https://www.tokokk.com,22名,プレス機械部品及び組み付け加工・マシニングセンター加工,鉄・鋳物・アルミ・SUS,横マシ800×1200　立マシ1500×760,,3個以上～大きさにより1000個,角、鍛造品、異形状,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1689/,大阪府大阪市生野区巽南5-14-35,https://www.muranakakinzoku.co.jp/,9名,金型設計製作・板金プレス加工業,鉄・SUS・アルミ,,板厚0.1~3.0,100~3000/単発のみ,,,,,25~110ton,,,,,,,
https://eigyo-mfg.com/casestudy/1686/,栃木県那須郡那須町大字寺子2716-5,http://daikoharness.noeloffice.com/company.html,35名,医療器具ハーネス加工,,,,小ロット～100程度,単線ハーネス,,,,,1m前後,,,,,,
https://eigyo-mfg.com/casestudy/1116/,岐阜県美濃加茂市 加茂野町稲辺164-3,https://www.marutatu.co.jp/,15名,板金、製缶加工,鉄,両手で持てるサイズ～2000×2000㎜,2.mmから25mm,20個以下の多品種少ロット,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1433/,千葉県船橋市豊富町620-2,https://www.msb-c.co.jp/,42名,精密板金業・レーザー溶接・工作機械の部品製造・建築部材の製造,鉄・アルミ・SUS・銅・真鍮,,"鉄：～28㎜
SUS：～ 16mm
アルミ：～15㎜
銅：～12㎜",多品種少量,"機械製缶
筐体・カバー・架台・溶接等",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1683/,山口県下松市末武下西沖680-16,https://www.sanwa21.co.jp/,70名,電解研磨、バフ研磨、電解複合研磨,ステンレス,手のひら~1m角,,単品～1000個未満,容器形状,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1107/,大阪府摂津市鳥飼本町5-2-16,https://s-skk.com/,4名,精密・一般加工部品全般,,,,,,,,,,,"オールマイティー！
管理の手間省きます！",,,,,
https://eigyo-mfg.com/casestudy/1103/,石川県能美市秋常町甲12番地,https://motorashi.co.jp/,23名,非鉄金属のNC切削加工,非鉄金属全般,Φ0.4~64,,月産1個~10万個,丸物、異形,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1055/,福井県坂井市丸岡町舟寄9-3-1,https://www.kk-giken.com/,17名,ハイブリッドドリル「ゼロバリ」販売、その他切削工具の製作・特殊加工,,,,,,,,,,,,「バリの出ない」ハイブリッドドリル,"バリ取りにかけていた時間の削減可能
工程数削減によるコストダウンを実現",穴精度H6-7で、精度が高い,,
https://eigyo-mfg.com/casestudy/1218/,大阪府柏原市国分東条町4327番地2,http://www.mihara-seiki.com/index.cgi,57名,自動車ステアリング用精密重要保安部品の製造 / 多品種小ロット切削加工部品製造,SUS・鉄,"自動盤：4φ～30φ、長手：10－250㎜
通常旋盤：10φ～300φ、長手：10-600ｍｍ",,,丸物・軸物・六角等,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1049/,埼玉県秩父市中村町3丁目22-9,https://hara-works.com/,22名,切削加工,SUS,Φ3～Φ30,,500個～3000個,"複雑形状品
長尺のシャフト材",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1122/,愛知県みよし市莇生町辰己山102,https://e-shinko.co.jp/,52名,切削加工全般・加工部品の表面処理及び組み付け・真鍮加工/切削加加工,真鍮・鉄・ステンレス・アルミ,4Φ～100Φ,,"100～4000個/月
多品種少量対応可能",角物・丸物,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1095/,福井県福井市上中町27-13-1,https://www.maruishi-kougyou.com/,6名,溶接・製缶、型枠設計・製造,SUS、鉄,"幅×長さ×高さ：2000×3m×2000
板厚:4.5mm～6mm
薄板1.2mm、厚板:25mm
天井クレーンが2.8ｔと2ｔ対応可能",,一品一様∼100以上,"筐体・ブラケット
架台・機械カバー",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1079/,埼玉県久喜市河原井町39番地（久喜菖蒲工業団地7-1-3）,https://sanshu-ind-co-jp.prm-ssl.jp/index.html,28名,インパクトプレスによるアルミ製品の製造・自動機、省力化装置・FA機器の設計・製作、販売,,,,,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/173/,兵庫県尼崎市長洲西通1丁目15番19号,,70名,金属塗装（溶剤焼付・粉体など）,金属,6500まで可能,,多品種小ロット,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1035/,京都府京都市南区久世川原町198-18,https://www.takion21.co.jp/,9名,電子機器及び周辺装置等の部品製造,鉄・アルミ・SUS・樹脂,"旋盤φ10～500程度
フライス1000角程度",,"1～10個程度の少量品
(試作、開発や少量多品種など)","旋盤部品・旋盤+マシニング部品
公差の厳しい加工品",,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1156/,埼玉県所沢市東所沢2-54-1,https://www.showa-i.co.jp/,6名,金属製フレキシブルチューブ及び周辺機器の開発・設計・製造・組立・販売,ステンレス・真鍮・鉄,直径2mm～50mm,,月産1個～1000個程度,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1335/,大阪府八尾市北木の本4丁目32-1,https://www.yoshikawa-tatsuzo.co.jp/,6名,プレス板金加工,スチール,"板厚3㎜以下
小物から30㎝ほどのもの",,100個以上～1000個前後,曲げ・外形抜き・穴あけ,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1304/,広島県廿日市市峠645番地,https://www.hattori-eg.com/,23名,機械部品・製品加工,鉄・SUS・アルミ・真鍮・樹脂など,小物～1.5m以上にも対応,,少量多品種～量産,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1477/,広島県広島市安佐北区安佐町久地５４８８―１,https://www.ajet.co.jp/,11名,⾃動⾞部品に特化した運搬用パレットの製作,鉄,,,,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/171/,京都府八幡市八幡吉原８番地,https://www.nouvelle.co.jp/,8名,液晶・半導体・太陽電池関連装置、包装機、省力機器、産業ロボット、医薬品のカプセル充填機、錠剤印刷機等の精密部品加工高速高精度CNC三次元座標測定機による検査・測定,アルミ,1000㎜、厚さ12mm以上,,小ロット,板もの,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/167/,神奈川県綾瀬市上土棚北3-29-26,http://se-bu.jp/,54名,,樹脂,200×200-手のひらサイズ,,中ロット(月100個〜),角もの,,,,,,,,,,工業用試作品の製造と販売,
https://eigyo-mfg.com/casestudy/168/,新潟県長岡市鉄工町1丁目2-10,https://www.marubishi-ht.com/,48名,,鉄,長尺,,量産,様々対応可能,,,,,,,,,,工作機械や産業機械、自動車部品の、高周波焼入・浸炭焼入等の各種金属熱処理加工,
https://eigyo-mfg.com/casestudy/169/,佐賀県佐賀市兵庫町大字渕1333-1,https://sugi-tetsu.com/,3名,,鉄・ステンレス・アルミ・銅,手のひらサイズ,,量産部品生産と多品種少量部品,丸型,,,,,,,,,,NC旋盤,
https://eigyo-mfg.com/casestudy/166/,山形県西村山郡河北町谷地字砂田161,https://www.superior-net.co.jp/,58名,特殊コイル製造・機械装置組立・産業機械関連樹脂加工・精密部品加工,各種塩ビ、PET、PP等,縦横3000㎜、高さ4000㎜まで,,1台～10台,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/1128/,岐阜県不破郡垂井町宮代2850,http://www.onofact.co.jp/,60名,自動車各種スイッチの製造,樹脂,手のひら～両手で持てるサイズ,,月5000~2万個,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/189/,京都府八幡市下奈良出垣内19-3,https://daito55.co.jp/,14名,,"［製缶］鉄
［機械加工］鉄、アルミ","［製缶］2,000×5,000の架台まで可能
［機械加工］300～1300ｍｍ",,"［製缶］10個前後
［機械加工］50個前後","［製缶］フレーム、支柱、ブラケット
［機械加工］角物、板物",,,,,,,,,,産業機械等部品の製缶加工・機械加工,
https://eigyo-mfg.com/casestudy/170/,埼玉県熊谷市飯塚362-1,https://kk-sanwa.jp/,32名,電気機械器具製造・各種制御装置・電源装置の組立・配線,,50㎝四方（上限2ｍ30㎝程度）,,単品～,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/194/,長野県茅野市湖東3434,http://kitamura-kiden.co.jp/,350名,電子部品・電子デバイス加工,,,,,,,,,,,,,,,,
https://eigyo-mfg.com/casestudy/165/,茨城県石岡市正上内11-5,https://suzuki-kougyousyo.com/,8名,,ステンレス・鉄・アルミ,手の平サイズ～2M,,試作～量産（100～200程度）,精密板金,,,,,,,,,,板金加工,
https://eigyo-mfg.com/casestudy/176/,東京都品川区荏原4丁目7番14号,http://izumikanagata.com/,16名,,プラスチック,型締め力50～550ｔ,,,,,,,,,,,,,プラスチック射出成形用精密金型の設計・製造,
https://eigyo-mfg.com/casestudy/192/,新潟県加茂市八幡3-7-10,https://tazawa-kamo.com/,13名,,樹脂,型締め力50～140トン,,中～量産,丸物、角物,,,,,,,,,,インサート成形、プラスティック加工,
https://eigyo-mfg.com/casestudy/175/,東京都西多摩郡瑞穂町南平1-7-11,http://www.sugawara.co.jp/,7名,,鉄・SUS・アルミ・真鍮,500㎜×1000㎜,,10個‐10万個,平面・絞り形状（深絞りでない）・複雑形状,,,,,,,,,,金属金型の設計・製作、金属プレス加工加工,
https://eigyo-mfg.com/casestudy/193/,長野県岡谷市加茂町2-1-17,http://www.miyasaka-sk.co.jp/,12名,,真鍮、アルミ、45C、SK、SUS303、チタン,18φ以下,,2000～5000個,丸および六角、四角,,,,,,,,,,NC旋盤による精密切削加工,
https://eigyo-mfg.com/casestudy/191/,滋賀県栗東市出庭478-5,https://nps1.jp/,24名,,基本問わず（ステンレス）,"［板金加工］手のひらサイズ～2000㎜
板厚0.05-22mmまで 
［機械加工］300mm×300mm
φ3～φ250（長さは300mmまで）",,1個～500個程度,板金、美観が求められる加工案件,,,,,,,,,,板金加工・機械加工全般,
https://eigyo-mfg.com/casestudy/190/,佐賀県神埼市千代田町崎村551番地,https://www.shinei-metaltec.co.jp/,57名,,鉄・ステンレス,"10mm角～1000mm角
（厚さ1mm-12mm）",,少量多品種から1000個程度まで,"問わず
（複雑な形状でも柔軟に対応が可能）",,,,,,,,,,精密板金加工・溶接全般　レーザー＆タレパン加工、曲げ、研磨、機械加工,
https://eigyo-mfg.com/casestudy/177/,岐阜県美濃市極楽寺1451番地の1,https://www.msplastic.co.jp/,29名,プラスチック原料・プラスチックスクラップの加工及び販売,,,,,,,,,,,,,,,,"PE・PP・PS・ABS・PMMA・PC
EVA・AS、PA6・ PBT・PPS・TPO
LCP・POM・PET・PC/ABS
変性PPE/PPO・COP・PVC
MMA・POM
 新可塑性エラストマー・フッ素樹脂等"
